;Пробег;Модель;Цена;Год;Коробка передач;Кузов;Привод;Цвет;Двигатель
3046;136 000 км;Ford Focus II Рестайлинг;615 000 ₽;2011;автомат;седан;передний;серый;2.0 л/145л.с./Бензин
3047;34 725 км;Ford Focus III Рестайлинг;1 090 000 ₽;2018;робот;универсал 5 дв.;передний;синий;1.6 л/125л.с./Бензин
3048;246 000 км;Ford Focus II Рестайлинг;375 000 ₽;2008;механика;хэтчбек 5 дв.;передний;чёрный;1.8 л/125л.с./Бензин
3049;188 000 км;Ford Focus II Рестайлинг;420 000 ₽;2008;автомат;хэтчбек 5 дв.;передний;голубой;2.0 л/145л.с./Бензин
3050;265 000 км;Ford Focus I Рестайлинг;167 000 ₽;2004;механика;универсал 5 дв.;передний;золотистый;1.6 л/100л.с./Бензин
3051;130 000 км;Ford Focus II Рестайлинг;390 000 ₽;2010;автомат;хэтчбек 5 дв.;передний;коричневый;1.6 л/100л.с./Бензин
3052;280 000 км;Ford Focus III;430 000 ₽;2012;механика;хэтчбек 5 дв.;передний;серебристый;1.6 л/125л.с./Бензин
3053;205 000 км;Ford Focus II Рестайлинг;413 000 ₽;2010;механика;универсал 5 дв.;передний;чёрный;1.8 л/125л.с./Бензин
3054;224 000 км;Ford Focus I Рестайлинг;220 000 ₽;2004;механика;седан;передний;серый;2.0 л/130л.с./Бензин
3055;251 000 км;Ford Focus III;440 000 ₽;2011;механика;седан;передний;белый;1.6 л/105л.с./Бензин
3056;260 000 км;Ford Focus II;330 000 ₽;2007;механика;хэтчбек 5 дв.;передний;красный;1.8 л/125л.с./Бензин
3057;28 127 км;Ford Focus III Рестайлинг;877 000 ₽;2016;робот;седан;передний;серый;1.6 л/105л.с./Бензин
3058;132 000 км;Ford Focus III;550 000 ₽;2013;механика;седан;передний;синий;1.6 л/125л.с./Бензин
3059;134 241 км;Ford Focus III Рестайлинг;675 000 ₽;2016;робот;хэтчбек 5 дв.;передний;серебристый;1.6 л/105л.с./Бензин
3060;250 000 км;Ford Focus II;220 000 ₽;2005;механика;седан;передний;синий;1.6 л/115л.с./Бензин
3061;76 000 км;Ford Focus III;600 000 ₽;2012;робот;хэтчбек 5 дв.;передний;серебристый;2.0 л/150л.с./Бензин
3062;131 000 км;Ford Focus III;540 000 ₽;2011;робот;хэтчбек 5 дв.;передний;белый;2.0 л/150л.с./Бензин
3063;52 906 км;Ford Focus III Рестайлинг;785 000 ₽;2016;робот;универсал 5 дв.;передний;серебристый;1.6 л/105л.с./Бензин
3064;216 500 км;Ford Focus II;275 000 ₽;2007;механика;седан;передний;чёрный;1.8 л/125л.с./Бензин
3065;230 750 км;Ford Focus I Рестайлинг;135 000 ₽;2005;механика;седан;передний;серебристый;1.8 л/115л.с./Бензин
3066;230 000 км;Ford Focus II;260 000 ₽;2007;механика;седан;передний;белый;1.6 л/115л.с./Бензин
3067;184 042 км;Ford Focus II;235 000 ₽;2006;механика;универсал 5 дв.;передний;синий;1.4 л/80л.с./Бензин
3068;200 000 км;Ford Focus II Рестайлинг;345 000 ₽;2011;механика;универсал 5 дв.;передний;серый;1.6 л/100л.с./Бензин
3069;132 000 км;Ford Focus III;440 000 ₽;2013;механика;седан;передний;серебристый;1.6 л/125л.с./Бензин
3070;201 000 км;Ford Focus II;260 000 ₽;2006;механика;седан;передний;чёрный;1.8 л/125л.с./Бензин
3071;227 200 км;Ford Focus I Рестайлинг;160 000 ₽;2002;механика;седан;передний;синий;1.8 л/115л.с./Бензин
3072;79 000 км;Ford Focus III Рестайлинг;1 040 000 ₽;2018;робот;хэтчбек 5 дв.;передний;чёрный;1.6 л/125л.с./Бензин
3073;42 703 км;Ford Focus III Рестайлинг;810 000 ₽;2016;робот;хэтчбек 5 дв.;передний;чёрный;1.6 л/105л.с./Бензин
3074;101 000 км;Ford Focus III;500 000 ₽;2013;робот;седан;передний;белый;1.6 л/125л.с./Бензин
3075;45 000 км;Ford Focus III Рестайлинг;1 050 000 ₽;2017;автомат;седан;передний;чёрный;1.5 л/150л.с./Бензин
3076;142 000 км;Ford Focus III;455 000 ₽;2012;механика;универсал 5 дв.;передний;белый;1.6 л/105л.с./Бензин
3077;210 000 км;Ford Focus II Рестайлинг;315 000 ₽;2008;механика;хэтчбек 3 дв.;передний;белый;1.6 л/100л.с./Бензин
3078;165 000 км;Ford Focus II;310 000 ₽;2008;механика;седан;передний;серебристый;1.8 л/125л.с./Бензин
3079;34 042 км;Ford Focus III Рестайлинг;779 000 ₽;2017;робот;седан;передний;синий;1.6 л/125л.с./Бензин
3080;140 000 км;Ford Focus III;535 000 ₽;2012;робот;хэтчбек 5 дв.;передний;красный;2.0 л/150л.с./Бензин
3081;150 000 км;Ford Focus III Рестайлинг;600 000 ₽;2015;механика;универсал 5 дв.;передний;белый;1.6 л/105л.с./Бензин
3082;115 000 км;Ford Focus II;365 000 ₽;2008;механика;хэтчбек 5 дв.;передний;красный;1.6 л/100л.с./Бензин
3083;137 000 км;Ford Focus II Рестайлинг;360 000 ₽;2011;механика;хэтчбек 5 дв.;передний;синий;1.6 л/100л.с./Бензин
3084;107 000 км;Ford Focus III;520 000 ₽;2012;робот;хэтчбек 5 дв.;передний;белый;1.6 л/125л.с./Бензин
3085;132 000 км;Ford Focus III Рестайлинг;495 000 ₽;2016;механика;универсал 5 дв.;передний;жёлтый;1.6 л/105л.с./Бензин
3086;380 000 км;Ford Focus II;300 000 ₽;2006;механика;хэтчбек 5 дв.;передний;серый;1.8 л/125л.с./Бензин
3087;99 900 км;Ford Focus III;580 000 ₽;2012;механика;хэтчбек 5 дв.;передний;белый;1.6 л/105л.с./Бензин
3088;210 000 км;Ford Focus III;499 000 ₽;2012;робот;хэтчбек 5 дв.;передний;белый;1.6 л/125л.с./Бензин
3089;250 000 км;Ford Focus II;180 000 ₽;2007;механика;универсал 5 дв.;передний;белый;1.8 л/116л.с./Дизель
3090;160 000 км;Ford Focus II Рестайлинг;355 000 ₽;2009;механика;хэтчбек 5 дв.;передний;синий;1.4 л/80л.с./Бензин
3091;180 000 км;Ford Focus II Рестайлинг;350 000 ₽;2008;механика;хэтчбек 5 дв.;передний;синий;1.6 л/100л.с./Бензин
3092;185 000 км;Ford Focus II;180 000 ₽;2006;механика;седан;передний;чёрный;1.4 л/80л.с./Бензин
3093;226 234 км;Ford Focus II;319 000 ₽;2006;механика;универсал 5 дв.;передний;чёрный;1.8 л/125л.с./Бензин
3094;330 000 км;Ford Focus II Рестайлинг;350 000 ₽;2008;механика;хэтчбек 5 дв.;передний;чёрный;1.6 л/115л.с./Бензин
3095;171 652 км;Ford Focus II Рестайлинг;333 000 ₽;2010;механика;хэтчбек 5 дв.;передний;белый;1.6 л/100л.с./Бензин
3096;98 800 км;Ford Focus II Рестайлинг;470 000 ₽;2011;механика;универсал 5 дв.;передний;белый;1.6 л/100л.с./Бензин
3097;85 107 км;Ford Focus III;549 900 ₽;2012;робот;седан;передний;серебристый;1.6 л/125л.с./Бензин
3098;296 000 км;Ford Focus I Рестайлинг;120 000 ₽;2002;автомат;седан;передний;серебристый;2.0 л/130л.с./Бензин
3099;190 000 км;Ford Focus I Рестайлинг;155 000 ₽;2002;автомат;седан;передний;серый;2.0 л/130л.с./Бензин
3100;192 000 км;Ford Focus II Рестайлинг;370 000 ₽;2008;механика;хэтчбек 5 дв.;передний;чёрный;1.8 л/125л.с./Бензин
3101;135 000 км;Ford Focus II Рестайлинг;400 000 ₽;2009;механика;хэтчбек 5 дв.;передний;серебристый;1.8 л/125л.с./Бензин
3102;202 344 км;Ford Focus II;329 000 ₽;2008;механика;хэтчбек 5 дв.;передний;синий;1.4 л/80л.с./Бензин
3103;30 000 км;Ford Focus III Рестайлинг;997 000 ₽;2017;робот;универсал 5 дв.;передний;бежевый;1.6 л/125л.с./Бензин
3104;170 000 км;Ford Focus II Рестайлинг;395 000 ₽;2011;автомат;хэтчбек 5 дв.;передний;серебристый;2.0 л/145л.с./Бензин
3105;159 200 км;Ford Focus III;470 000 ₽;2012;механика;седан;передний;коричневый;1.6 л/105л.с./Бензин
3106;250 000 км;Ford Focus I;95 500 ₽;2000;механика;хэтчбек 3 дв.;передний;синий;1.4 л/75л.с./Бензин
3107;149 000 км;Ford Focus III;450 000 ₽;2013;робот;хэтчбек 5 дв.;передний;чёрный;1.6 л/125л.с./Бензин
3108;300 000 км;Ford Focus II;245 000 ₽;2006;механика;седан;передний;голубой;1.6 л/115л.с./Бензин
3109;269 000 км;Ford Focus II;285 000 ₽;2007;механика;хэтчбек 5 дв.;передний;синий;1.6 л/100л.с./Бензин
3110;215 000 км;Ford Focus I Рестайлинг;145 000 ₽;2005;механика;седан;передний;серебристый;1.8 л/115л.с./Бензин
3111;139 424 км;Ford Focus II;349 000 ₽;2006;механика;седан;передний;чёрный;1.8 л/125л.с./Бензин
3112;195 000 км;Ford Focus II Рестайлинг;330 000 ₽;2009;механика;седан;передний;синий;1.6 л/100л.с./Бензин
3113;170 100 км;Ford Focus II;215 000 ₽;2005;механика;хэтчбек 5 дв.;передний;синий;1.4 л/80л.с./Бензин
3114;138 000 км;Ford Focus III Рестайлинг;500 000 ₽;2014;робот;хэтчбек 5 дв.;передний;чёрный;1.6 л/125л.с./Бензин
3115;210 000 км;Ford Focus I Рестайлинг;140 000 ₽;2004;механика;седан;передний;синий;1.6 л/98л.с./Бензин
3116;44 800 км;Ford Focus III Рестайлинг;850 000 ₽;2015;робот;хэтчбек 5 дв.;передний;белый;1.6 л/125л.с./Бензин
3117;130 000 км;Ford Focus II Рестайлинг;270 000 ₽;2008;механика;хэтчбек 5 дв.;передний;синий;2.0 л/145л.с./Бензин
3118;217 000 км;Ford Focus II Рестайлинг;355 000 ₽;2008;механика;хэтчбек 5 дв.;передний;чёрный;1.6 л/115л.с./Бензин
3119;185 656 км;Ford Focus II;250 000 ₽;2006;механика;седан;передний;серебристый;1.6 л/115л.с./Бензин
3120;155 000 км;Ford Focus II Рестайлинг;465 000 ₽;2010;механика;универсал 5 дв.;передний;серебристый;1.6 л/100л.с./Бензин
3121;350 000 км;Ford Focus I Рестайлинг;160 000 ₽;2002;автомат;седан;передний;чёрный;2.0 л/130л.с./Бензин
3122;159 000 км;Ford Focus II;300 000 ₽;2007;механика;седан;передний;серебристый;1.6 л/115л.с./Бензин
3123;286 996 км;Ford Focus I Рестайлинг;185 000 ₽;2004;механика;седан;передний;чёрный;1.8 л/115л.с./Бензин
3124;196 000 км;Ford Focus I Рестайлинг;190 000 ₽;2005;механика;седан;передний;серебристый;1.8 л/115л.с./Бензин
3125;145 000 км;Ford Focus I Рестайлинг;150 000 ₽;2004;механика;хэтчбек 5 дв.;передний;синий;1.6 л/98л.с./Бензин
3126;198 000 км;Ford Focus II;200 000 ₽;2006;механика;седан;передний;белый;1.6 л/115л.с./Бензин
3127;123 000 км;Ford Focus II;250 000 ₽;2007;механика;хэтчбек 3 дв.;передний;голубой;1.8 л/125л.с./Бензин
3128;195 000 км;Ford Focus II Рестайлинг;320 000 ₽;2009;механика;хэтчбек 5 дв.;передний;чёрный;1.8 л/125л.с./Бензин
3129;20 000 км;Ford Focus II;290 000 ₽;2006;механика;хэтчбек 5 дв.;передний;чёрный;1.8 л/125л.с./Бензин
3130;206 180 км;Ford Focus II;285 000 ₽;2007;механика;седан;передний;чёрный;1.6 л/115л.с./Бензин
3131;114 000 км;Ford Focus II Рестайлинг;305 000 ₽;2008;механика;хэтчбек 5 дв.;передний;оранжевый;1.4 л/80л.с./Бензин
3132;133 737 км;Ford Focus II Рестайлинг;500 000 ₽;2011;автомат;хэтчбек 5 дв.;передний;серебристый;1.6 л/100л.с./Бензин
3133;87 000 км;Ford Focus III;500 000 ₽;2011;механика;седан;передний;серебристый;1.6 л/125л.с./Бензин
3134;160 000 км;Ford Focus II Рестайлинг;350 000 ₽;2008;механика;хэтчбек 5 дв.;передний;чёрный;1.8 л/125л.с./Бензин
3135;180 000 км;Ford Focus III;450 000 ₽;2012;механика;седан;передний;белый;1.6 л/125л.с./Бензин
3136;77 328 км;Ford Focus III Рестайлинг;920 000 ₽;2017;робот;седан;передний;чёрный;1.6 л/105л.с./Бензин
3137;105 000 км;Ford Focus II Рестайлинг;515 000 ₽;2011;механика;хэтчбек 5 дв.;передний;серебристый;1.6 л/100л.с./Бензин
3138;186 500 км;Ford Focus II Рестайлинг;350 000 ₽;2010;механика;хэтчбек 5 дв.;передний;серый;1.6 л/100л.с./Бензин
3139;145 000 км;Ford Focus III;445 000 ₽;2013;механика;универсал 5 дв.;передний;белый;1.6 л/105л.с./Бензин
3140;157 000 км;Ford Focus III;449 900 ₽;2014;механика;универсал 5 дв.;передний;белый;1.6 л/105л.с./Бензин
3141;296 000 км;Ford Focus I Рестайлинг;109 999 ₽;2003;механика;универсал 5 дв.;передний;серебристый;1.8 л/75л.с./Дизель
3142;138 000 км;Ford Focus II Рестайлинг;425 000 ₽;2011;механика;хэтчбек 5 дв.;передний;чёрный;1.6 л/100л.с./Бензин
3143;124 000 км;Ford Focus II;380 000 ₽;2007;механика;седан;передний;чёрный;1.6 л/100л.с./Бензин
3144;173 050 км;Ford Focus II;270 000 ₽;2006;механика;седан;передний;серебристый;1.6 л/100л.с./Бензин
3145;271 750 км;Ford Focus I Рестайлинг;185 000 ₽;2003;механика;седан;передний;красный;1.8 л/115л.с./Бензин
3146;135 700 км;Ford Focus III;570 000 ₽;2013;механика;седан;передний;белый;1.6 л/125л.с./Бензин
3147;184 360 км;Ford Focus III Рестайлинг;595 000 ₽;2017;робот;универсал 5 дв.;передний;белый;1.6 л/105л.с./Бензин
3148;148 000 км;Ford Focus III Рестайлинг;815 000 ₽;2016;автомат;седан;передний;чёрный;1.5 л/150л.с./Бензин
3149;188 500 км;Ford Focus II Рестайлинг;350 000 ₽;2008;механика;хэтчбек 5 дв.;передний;красный;1.6 л/115л.с./Бензин
3150;68 000 км;Ford Focus III Рестайлинг;620 000 ₽;2016;робот;универсал 5 дв.;передний;белый;1.6 л/105л.с./Бензин
3151;160 000 км;Ford Focus II;250 000 ₽;2006;механика;универсал 5 дв.;передний;синий;1.6 л/90л.с./Дизель
3152;216 000 км;Ford Focus III;455 000 ₽;2011;робот;хэтчбек 5 дв.;передний;чёрный;2.0 л/150л.с./Бензин
3153;114 121 км;Ford Focus III;455 000 ₽;2011;робот;седан;передний;серый;1.6 л/125л.с./Бензин
3154;260 000 км;Ford Focus II;280 000 ₽;2007;механика;универсал 5 дв.;передний;синий;1.6 л/100л.с./Бензин
3155;48 000 км;Ford Focus III Рестайлинг;949 900 ₽;2017;автомат;седан;передний;белый;1.5 л/150л.с./Бензин
3156;185 000 км;Ford Focus II;465 000 ₽;2007;механика;хэтчбек 5 дв.;передний;пурпурный;1.8 л/125л.с./Бензин
3157;230 000 км;Ford Focus II;300 000 ₽;2006;механика;универсал 5 дв.;передний;синий;1.6 л/100л.с./Бензин
3158;210 000 км;Ford Focus II;310 000 ₽;2006;механика;седан;передний;чёрный;1.6 л/100л.с./Бензин
3159;110 600 км;Ford Focus III;585 000 ₽;2012;робот;хэтчбек 5 дв.;передний;серебристый;2.0 л/150л.с./Бензин
3160;134 000 км;Ford Focus II Рестайлинг;433 000 ₽;2011;механика;хэтчбек 5 дв.;передний;белый;1.6 л/100л.с./Бензин
3161;330 568 км;Ford Focus II Рестайлинг;280 000 ₽;2011;механика;хэтчбек 5 дв.;передний;чёрный;1.6 л/115л.с./Бензин
3162;190 000 км;Ford Focus II;305 000 ₽;2007;механика;седан;передний;чёрный;1.8 л/125л.с./Бензин
3163;105 000 км;Ford Focus III;550 000 ₽;2014;механика;хэтчбек 5 дв.;передний;серебристый;1.6 л/105л.с./Бензин
3164;180 000 км;Ford Focus II Рестайлинг;320 000 ₽;2008;механика;хэтчбек 5 дв.;передний;голубой;1.8 л/125л.с./Бензин
3165;101 000 км;Ford Focus III;520 000 ₽;2011;робот;хэтчбек 5 дв.;передний;коричневый;1.6 л/125л.с./Бензин
3166;136 000 км;Ford Focus III;550 000 ₽;2011;механика;седан;передний;серебристый;1.6 л/105л.с./Бензин
3167;123 000 км;Ford Focus III;530 000 ₽;2012;робот;хэтчбек 5 дв.;передний;серебристый;2.0 л/150л.с./Бензин
3168;81 000 км;Ford Focus III;490 000 ₽;2011;робот;хэтчбек 5 дв.;передний;красный;1.6 л/125л.с./Бензин
3169;193 000 км;Ford Focus III;515 000 ₽;2011;робот;хэтчбек 5 дв.;передний;серый;2.0 л/150л.с./Бензин
3170;142 000 км;Ford Focus III;550 000 ₽;2013;механика;универсал 5 дв.;передний;серый;1.6 л/105л.с./Бензин
3171;158 000 км;Ford Focus II Рестайлинг;350 000 ₽;2008;механика;хэтчбек 5 дв.;передний;красный;1.6 л/100л.с./Бензин
3172;166 000 км;Ford Focus II;300 000 ₽;2005;механика;седан;передний;красный;2.0 л/145л.с./Бензин
3173;48 800 км;Ford Focus III Рестайлинг;899 000 ₽;2016;механика;хэтчбек 5 дв.;передний;чёрный;1.6 л/85л.с./Бензин
3174;205 000 км;Ford Focus II;290 000 ₽;2006;механика;седан;передний;красный;1.8 л/125л.с./Бензин
3175;197 000 км;Ford Focus II;265 000 ₽;2006;механика;хэтчбек 5 дв.;передний;красный;1.6 л/115л.с./Бензин
3176;21 500 км;Ford Focus III Рестайлинг;990 000 ₽;2019;механика;универсал 5 дв.;передний;серебристый;1.6 л/105л.с./Бензин
3177;180 000 км;Ford Focus III;460 000 ₽;2012;механика;универсал 5 дв.;передний;белый;1.6 л/105л.с./Бензин
3178;240 000 км;Ford Focus II;335 000 ₽;2006;механика;седан;передний;чёрный;2.0 л/145л.с./Бензин
3179;215 000 км;Ford Focus II Рестайлинг;340 000 ₽;2010;механика;хэтчбек 5 дв.;передний;красный;1.8 л/125л.с./Бензин
3180;200 000 км;Ford Focus II;350 000 ₽;2007;механика;хэтчбек 3 дв.;передний;красный;2.0 л/145л.с./Бензин
3181;184 000 км;Ford Focus II Рестайлинг;310 000 ₽;2008;механика;универсал 5 дв.;передний;чёрный;1.8 л/125л.с./Бензин
3182;270 000 км;Ford Focus II;360 000 ₽;2007;механика;хэтчбек 5 дв.;передний;серебристый;1.8 л/125л.с./Бензин
3183;228 800 км;Ford Focus II;270 000 ₽;2006;механика;седан;передний;серебристый;1.8 л/125л.с./Бензин
3184;100 000 км;Ford Focus II Рестайлинг;350 000 ₽;2009;механика;хэтчбек 5 дв.;передний;синий;1.4 л/80л.с./Бензин
3185;219 000 км;Ford Focus II;350 000 ₽;2006;автомат;седан;передний;серебристый;1.6 л/100л.с./Бензин
3186;93 000 км;Ford Focus III Рестайлинг;639 196 ₽;2015;механика;хэтчбек 5 дв.;передний;белый;1.6 л/105л.с./Бензин
3187;150 000 км;Ford Focus I;75 000 ₽;2000;автомат;седан;передний;золотистый;2.0 л/131л.с./Бензин
3188;126 400 км;Ford Focus III;600 000 ₽;2013;робот;универсал 5 дв.;передний;серый;1.6 л/125л.с./Бензин
3189;180 000 км;Ford Focus II;240 000 ₽;2006;механика;хэтчбек 3 дв.;передний;чёрный;1.8 л/125л.с./Бензин
3190;200 200 км;Ford Focus II;270 000 ₽;2006;механика;хэтчбек 5 дв.;передний;белый;1.6 л/100л.с./Бензин
3191;89 000 км;Ford Focus III;520 000 ₽;2012;робот;седан;передний;чёрный;1.6 л/125л.с./Бензин
3192;235 886 км;Ford Focus I Рестайлинг;170 000 ₽;2003;механика;хэтчбек 5 дв.;передний;голубой;1.4 л/75л.с./Бензин
3193;367 000 км;Ford Focus II;250 000 ₽;2006;автомат;хэтчбек 5 дв.;передний;серебристый;1.6 л/100л.с./Бензин
3194;247 000 км;Ford Focus I;190 000 ₽;2000;автомат;седан;передний;серебристый;2.0 л/131л.с./Бензин
3195;150 000 км;Ford Focus II Рестайлинг;330 000 ₽;2008;механика;хэтчбек 5 дв.;передний;серебристый;1.6 л/115л.с./Бензин
3196;144 000 км;Ford Focus III;465 000 ₽;2012;робот;хэтчбек 5 дв.;передний;белый;1.6 л/105л.с./Бензин
3197;234 000 км;Ford Focus II;300 000 ₽;2007;механика;седан;передний;чёрный;1.6 л/115л.с./Бензин
3198;48 000 км;Ford Focus III Рестайлинг;1 050 000 ₽;2017;автомат;седан;передний;белый;1.5 л/150л.с./Бензин
3199;200 000 км;Ford Focus II Рестайлинг;350 000 ₽;2009;механика;универсал 5 дв.;передний;синий;1.6 л/100л.с./Бензин
3200;176 000 км;Ford Focus II;323 000 ₽;2008;механика;седан;передний;синий;1.6 л/115л.с./Бензин
3201;149 341 км;Ford Focus II Рестайлинг;470 000 ₽;2010;автомат;хэтчбек 5 дв.;передний;фиолетовый;2.0 л/145л.с./Бензин
3202;240 000 км;Ford Focus II;250 000 ₽;2007;механика;хэтчбек 5 дв.;передний;синий;1.8 л/125л.с./Бензин
3203;209 288 км;Ford Focus II Рестайлинг;430 000 ₽;2011;механика;седан;передний;белый;1.8 л/125л.с./Бензин
3204;187 000 км;Ford Focus II;270 000 ₽;2006;механика;хэтчбек 3 дв.;передний;чёрный;1.8 л/125л.с./Бензин
3205;194 307 км;Ford Focus III;470 000 ₽;2012;робот;хэтчбек 5 дв.;передний;белый;1.6 л/125л.с./Бензин
3206;260 000 км;Ford Focus II;450 000 ₽;2007;механика;хэтчбек 3 дв.;передний;белый;1.8 л/125л.с./Бензин
3207;182 000 км;Ford Focus III;650 000 ₽;2013;робот;хэтчбек 5 дв.;передний;красный;2.0 л/150л.с./Бензин
3208;177 000 км;Ford Focus III;430 000 ₽;2012;механика;универсал 5 дв.;передний;синий;1.6 л/105л.с./Бензин
3209;216 000 км;Ford Focus II;265 000 ₽;2006;механика;седан;передний;синий;1.6 л/100л.с./Бензин
3210;230 000 км;Ford Focus II;260 000 ₽;2006;механика;универсал 5 дв.;передний;синий;1.8 л/125л.с./Бензин
3211;220 000 км;Ford Focus II Рестайлинг;250 000 ₽;2007;механика;седан;передний;серебристый;1.8 л/116л.с./Дизель
3212;190 000 км;Ford Focus III;500 000 ₽;2013;робот;хэтчбек 5 дв.;передний;белый;1.6 л/125л.с./Бензин
3213;255 300 км;Ford Focus II Рестайлинг;430 000 ₽;2008;механика;хэтчбек 5 дв.;передний;фиолетовый;1.8 л/125л.с./Бензин
3214;103 015 км;Ford Focus III Рестайлинг;729 000 ₽;2016;робот;универсал 5 дв.;передний;красный;1.6 л/125л.с./Бензин
3215;156 000 км;Ford Focus II;265 000 ₽;2007;механика;хэтчбек 5 дв.;передний;чёрный;1.8 л/125л.с./Бензин
3216;128 000 км;Ford Focus III;600 000 ₽;2012;механика;хэтчбек 5 дв.;передний;пурпурный;1.6 л/125л.с./Бензин
3217;227 000 км;Ford Focus II;290 000 ₽;2007;механика;хэтчбек 5 дв.;передний;синий;1.6 л/100л.с./Бензин
3218;78 000 км;Ford Focus III Рестайлинг;640 000 ₽;2016;робот;универсал 5 дв.;передний;серый;1.6 л/105л.с./Бензин
3219;78 000 км;Ford Focus III Рестайлинг;640 000 ₽;2016;робот;универсал 5 дв.;передний;серый;1.6 л/105л.с./Бензин
3220;150 000 км;Ford Focus III;500 000 ₽;2015;робот;хэтчбек 5 дв.;передний;чёрный;1.6 л/105л.с./Бензин
3221;174 000 км;Ford Focus II Рестайлинг;385 000 ₽;2011;автомат;хэтчбек 5 дв.;передний;белый;1.6 л/100л.с./Бензин
3222;83 000 км;Ford Focus III;570 000 ₽;2012;робот;хэтчбек 5 дв.;передний;синий;1.6 л/125л.с./Бензин
3223;160 000 км;Ford Focus III Рестайлинг;790 000 ₽;2015;автомат;универсал 5 дв.;передний;белый;1.5 л/150л.с./Бензин
3224;129 000 км;Ford Focus III Рестайлинг;660 000 ₽;2017;механика;универсал 5 дв.;передний;белый;1.6 л/105л.с./Бензин
3225;220 000 км;Ford Focus II;192 000 ₽;2007;механика;хэтчбек 5 дв.;передний;чёрный;1.6 л/100л.с./Бензин
3226;130 000 км;Ford Focus II Рестайлинг;365 000 ₽;2009;механика;универсал 5 дв.;передний;синий;1.6 л/100л.с./Бензин
3227;214 000 км;Ford Focus III;420 000 ₽;2011;механика;хэтчбек 5 дв.;передний;белый;1.6 л/105л.с./Бензин
3228;280 000 км;Ford Focus I Рестайлинг;160 000 ₽;2005;механика;хэтчбек 5 дв.;передний;синий;1.6 л/98л.с./Бензин
3229;168 000 км;Ford Focus II Рестайлинг;380 000 ₽;2011;механика;хэтчбек 5 дв.;передний;синий;1.4 л/80л.с./Бензин
3230;200 000 км;Ford Focus II;260 000 ₽;2007;механика;хэтчбек 5 дв.;передний;чёрный;1.8 л/125л.с./Бензин
3231;122 000 км;Ford Focus III;430 000 ₽;2011;механика;хэтчбек 5 дв.;передний;серебристый;1.6 л/125л.с./Бензин
3232;133 000 км;Ford Focus III;550 000 ₽;2012;механика;универсал 5 дв.;передний;чёрный;1.6 л/125л.с./Бензин
3233;241 000 км;Ford Focus II;240 000 ₽;2007;механика;хэтчбек 3 дв.;передний;серый;1.8 л/125л.с./Бензин
3234;186 000 км;Ford Focus II;320 000 ₽;2007;механика;седан;передний;чёрный;1.8 л/116л.с./Дизель
3235;119 453 км;Ford Focus III;500 000 ₽;2013;робот;хэтчбек 5 дв.;передний;серебристый;1.6 л/125л.с./Бензин
3236;224 992 км;Ford Focus II;300 000 ₽;2007;механика;седан;передний;синий;1.8 л/125л.с./Бензин
3237;17 625 км;Ford Focus III Рестайлинг;899 000 ₽;2019;механика;хэтчбек 5 дв.;передний;серый;1.6 л/105л.с./Бензин
3238;182 000 км;Ford Focus III;435 000 ₽;2012;робот;хэтчбек 5 дв.;передний;серебристый;1.6 л/105л.с./Бензин
3239;295 000 км;Ford Focus II;240 000 ₽;2006;механика;хэтчбек 3 дв.;передний;белый;1.4 л/80л.с./Бензин
3240;200 000 км;Ford Focus II;285 000 ₽;2008;механика;седан;передний;чёрный;1.8 л/125л.с./Бензин
3241;150 000 км;Ford Focus II;290 000 ₽;2007;автомат;седан;передний;серебристый;1.6 л/100л.с./Бензин
3242;120 500 км;Ford Focus III;389 000 ₽;2012;робот;хэтчбек 5 дв.;передний;белый;1.6 л/125л.с./Бензин
3243;116 000 км;Ford Focus I Рестайлинг;145 000 ₽;2002;механика;седан;передний;красный;2.0 л/130л.с./Бензин
3244;251 000 км;Ford Focus II Рестайлинг;290 000 ₽;2008;автомат;седан;передний;синий;1.6 л/100л.с./Бензин
3245;125 000 км;Ford Focus III;530 000 ₽;2011;робот;хэтчбек 5 дв.;передний;чёрный;1.6 л/125л.с./Бензин
3246;233 000 км;Ford Focus II;290 000 ₽;2007;механика;хэтчбек 5 дв.;передний;белый;1.6 л/100л.с./Бензин
3247;183 000 км;Ford Focus II Рестайлинг;400 000 ₽;2011;механика;седан;передний;синий;1.6 л/115л.с./Бензин
3248;197 925 км;Ford Focus III;499 000 ₽;2013;робот;седан;передний;серый;1.6 л/105л.с./Бензин
3249;91 000 км;Ford Focus III Рестайлинг;720 000 ₽;2017;механика;универсал 5 дв.;передний;белый;1.6 л/105л.с./Бензин
3250;148 000 км;Ford Focus II Рестайлинг;440 000 ₽;2010;автомат;хэтчбек 5 дв.;передний;серый;1.6 л/100л.с./Бензин
3251;120 000 км;Ford Focus III;475 000 ₽;2012;механика;седан;передний;пурпурный;1.6 л/125л.с./Бензин
3252;307 074 км;Ford Focus I;150 000 ₽;2001;механика;хэтчбек 5 дв.;передний;серебристый;1.6 л/100л.с./Бензин
3253;263 000 км;Ford Focus II;300 000 ₽;2007;механика;седан;передний;серебристый;1.8 л/125л.с./Бензин
3254;79 000 км;Ford Focus II Рестайлинг;700 000 ₽;2009;механика;хэтчбек 5 дв.;передний;чёрный;1.8 л/116л.с./Дизель
3255;223 226 км;Ford Focus II;290 000 ₽;2007;механика;универсал 5 дв.;передний;синий;1.8 л/116л.с./Дизель
